HH3,VIM,SMA,CD4,CD14,Foxp3,CD31,PDL1,Ki67,CD206,CD68,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA.DR,CD11b,CD45,H3K9Ac,Keratin,MastChyTry,Ta,Au,Disease
0.787840942,0.484595211,0,0.153785962,0.026952441,0,0.362319485,0.109405004,0,0,0,0,0,0.026231129,0,0,0.334072418,0.164421393,0,0.333422722,0,0.600030953,0.774268254,0,0,0.041465163,0.099993417,0
0.774382114,0.851867084,0,0.235521768,0.32670982,0,0.147847232,0.274379625,0,0.049092315,0,0,0,0.339533044,0.28549115,0,0.488891703,0.163161563,0,0.737668857,0.268134179,0.593469325,0.632547127,0,0,0.12054003,0.037449942,0
0.915317374,0.717209393,0,0.330211398,0.58803012,0,0.535704565,0.197313324,0,0.036184269,0,0,0.095334673,0.33006987,0.491170245,0,0.554615395,0.455422663,0,0.70655998,0,0.727912636,0.795959364,0,0,0.096398367,0.150860353,0
0.773539675,0.600723151,0,0.159271828,0.845181808,0,0.357639535,0,0,0.273981409,0,0,0.162173119,0.377815827,0.502200048,0,0.819443451,0.371443538,0,0.749563028,0.464922349,0.855648076,0.670585952,0,0,0.06303684,0.062443599,0
0.657363046,0.16801866,0,0,0.033084585,0,0,0,0,0,0,0.206843196,0.409696113,0.032199161,0,0,0.682821978,0,0,0.322374757,0,0.720838686,0.609096847,0,0,0.118990904,0.065394618,0
0.877738041,0.517135757,0,0.297411807,0.635286646,0,0,0,0,0.070859778,0,0,0.153574116,0.28842939,0.384828013,0,0.696353709,0.388977977,0,0.662120845,0,0.759040049,0.721089842,0,0,0.080921406,0.124625237,0
0.796416547,0.252085693,0,0.098948093,0,0,0,0,0,0,0,0.232206328,0.282785035,0.18203297,0.010751044,0,0.61020048,0,0,0.414371648,0,0.613354617,0.649531351,0,0,0.084272229,0.059588624,0
0.819493664,0.491156423,0,0.045667603,0,0,0,0,0,0,0,0,0.046499483,0,0,0,0.184977014,0,0,0.184061597,0,0.455888422,0.660079545,0,0,0.091170758,0.060383697,0
0.823917391,0.596096388,0,0.10866518,0.49971504,0,0,0,0,0,0,0,0,0.399631146,0.455511853,0,0.686984635,0.383279463,0,0.710283519,0.07796601,0.711348516,0.687408731,0,0,0.098752718,0.12059235,0
0.782515317,0.529716113,0,0.181153127,0,0,0.34448265,0,0,0,0,0,0.123106001,0.11204404,0.008430427,0,0.325864275,0.16129669,0,0.314867263,0,0.507369616,0.726999249,0,0,0.155653712,0.147094331,0
0.845422924,0.55067728,0,0.312516587,0.57244143,0,0.055223919,0,0,0,0,0,0.023398597,0.28101526,0.478117341,0,0.545928085,0.360166073,0,0.652160459,0,0.708564321,0.664223768,0,0,0.076826834,0.068474379,0
0.702017069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206486062,0,0,0.182965796,0,0.521833255,0.534837462,0,0,0.028991761,0.009651816,0
0.883526675,0.685132315,0,0.062937762,0.591936866,0,0.27420979,0.408907378,0,0.244807387,0,0.278011357,0.210039801,0.382122404,0.359621374,0,0.615108835,0.334988386,0,0.653919352,0.430455025,0.734365136,0.754359879,0,0,0.259839874,0.257394512,0
0.767724715,0.559626703,0,0,0,0,0,0,0,0,0,0.232353159,0,0.313924151,0,0,0.38699266,0,0,0.068860813,0,0.482626092,0.571607595,0,0,0.063558465,0.074270926,0
0.744257923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213537939,0,0,0.442558646,0,0.316663138,0.515352668,0,0,0.058910032,0.084078899,0
0.786165373,0.615394714,0,0.062937762,0.071061969,0,0,0,0,0,0,0,0.155023211,0.023363896,0,0,0.183148154,0,0,0.638484749,0,0.566388229,0.689894898,0,0,0.012518595,0.059690578,0
0.674643716,0,0,0.502985039,0.580370758,0,0,0,0.237760303,0,0,0.052008077,0.314082584,0,0,0,0.657296593,0,0,0.653606308,0,0.578141934,0.502555618,0,0,0.087792907,0.086966685,0
