,ID
1,P06493
2,P35237
3,P02655
4,Q00341
5,P46781
6,Q9H4M9
7,O00748
8,P25787
9,Q14241
10,Q96BI1
11,P46379
12,Q96FF7
13,P01701
14,P01717
15,P01715
16,P0DOY3
17,P01877
18,A0A0C4DH68
19,P58107
20,P80303
21,Q16881
22,P36969
23,P30519
24,Q9H0W9
25,P08123
26,A0A087WTJ2
27,Q12913
28,P18283
29,P11940
30,Q9Y6I9
31,Q92504
32,Q9H0U3
33,Q9NRW7
34,Q8WYA6
35,Q15005
36,Q15661
37,O14979
38,Q3LXA3
39,P07203
40,P62847
41,P04433
42,O60841
43,Q99417
44,Q9H299
45,P01857
46,P46013
47,Q9NZM3
48,Q6UB35
49,Q00610
50,Q9Y5U8
51,P19388
52,P20292
53,Q06033
54,O75027
55,A0A087WWA5
56,P13591
57,P15941
58,Q9P2T1
59,Q96T37
60,Q96FV9
61,O95999
62,Q9BXK5
63,O95299
64,P51608
65,Q6NVY1
66,B7Z879
67,P01860
68,P18621
69,P50895
70,Q9Y365
71,O43681
72,P41235
73,P20908
74,Q9NP79
75,Q96CW1
76,P61077
77,Q6UXV4
78,P01871
79,Q8IXJ6
80,Q8IZQ5
81,Q16851
82,Q9Y5X1
83,P35556
84,A0A087X1F5
85,O95249
86,Q8IY67
87,P02549
88,Q15651
89,Q04912
90,P29966
91,O43837
92,Q6UX53
93,Q9H3K6
94,P01834
95,Q13435
96,Q9UI32
97,Q9Y3A5
98,O15484
99,P09668
100,A0A087X0H9
101,P39059
102,Q9BVL4
103,Q9UMY4
104,Q8IWT0
105,P29728
106,Q8TF71
107,Q6ZRP7
108,Q9UBW5
109,O95793
110,P54252
111,Q9Y6K9
112,P53365
113,O60613
114,Q15057
115,P22352
116,O75608
117,P53814
118,Q9UL46
119,P09871
120,O60271
121,A0A087X2I1
122,Q14185
123,Q9Y508
124,Q6ZSR9
125,A0A096LPE2
126,P30042
127,Q16363
128,Q9NR56
129,A0A0A0MR49
130,P98175
131,Q9Y2J2
132,Q99996
133,Q86WJ1
134,A0A0A0MRI2
135,A0A0A0MRJ6
136,Q13505
137,Q9NZT2
138,P09234
139,Q8IZP0
140,Q9P2E9
141,Q9H6R4
142,O60237
143,Q9BWM7
144,Q9H9E3
145,Q8TEH3
146,Q13555
147,O43432
148,Q9UPT5
149,Q14192
150,O00471
151,A0A0A0MSS8
152,O94911
153,P02746
154,O15533
155,P08575
156,Q5T1M5
157,A0A0A0MT83
158,Q8NI36
159,A0A0A0MTR7
160,Q9NUL3
161,Q13418
162,O14981
163,P07108
164,A0A0R4J2G3
165,Q13617
166,P55290
167,P06744
168,Q8WZ42
169,P48200
170,A0A0A6YYA0
171,Q96ET8
172,O75676
173,A0A0A6YYH1
174,P0DMM9
175,A0A0A6YYL4
176,P04211
177,A0A0B4J1X5
178,Q16629
179,P0CG04
180,Q13509
181,A0A0B4J2A0
182,P62841
183,A0A0B4J2E5
184,A0A0C4DFL7
185,Q92544
186,Q8IWA4
187,P55735
188,P04179
189,Q9Y6C2
190,A0A0C4DFX9
191,A0A0C4DFZ2
192,P08865
193,O43464
194,A0A0C4DG49
195,O75521
196,P20810
197,Q14839
198,Q5ZPR3
199,P62070
200,P49641
201,P04632
202,P56556
203,P39656
204,Q08379
205,O43504
206,P02753
207,P24928
208,O14773
209,Q9NYM9
210,Q53F23
211,Q9NZN3
212,Q6VN20
213,O00571
214,P08319
215,Q92614
216,Q53SF7
217,Q05086
218,Q8IWS0
219,P30511
220,O60610
221,Q6NYC8
222,P06681
223,P06681
224,O95870
225,P04062
226,Q04837
227,A0A0G2JMH6
228,Q16625
229,P01859
230,Q6W4X9
231,Q9Y666
232,A0A0G2JNZ2
233,P01861
234,P01906
235,Q9NVE7
236,A0A0G2JR65
237,Q9UHX1
238,Q9Y4K1
239,Q15165
240,Q6P3W7
241,Q9HCH5
242,Q9Y2D4
243,Q76MJ5
244,Q9BPX6
245,P32519
246,A0A0U1RRL7
247,Q8WX92
248,A0AV96
249,A0AVT1
250,A0MZ66
251,A1A5D9
252,A1L0T0
253,Q99798
254,P28065
255,P29372
256,Q13084
257,A2RRP1
258,A3KMH1
259,A5YKK6
260,Q10588
261,A6NC98
262,A6NDB9
263,A6NDG6
264,Q92599
265,Q9UKK9
266,Q969T9
267,A6NHC0
268,A6NHR9
269,P14598
270,P26599
271,O60879
272,O43768
273,P21926
274,Q15257
275,A8K7I4
276,A8K878
277,P14678
278,P58499
279,P07148
280,P62308
281,P43243
282,A8TX70
283,Q8IYB3
284,B0I1T2
285,Q9Y262
286,P63279
287,Q99829
288,P02656
289,P15153
290,P30536
291,P55769
292,O75832
293,P47756
294,Q03591
295,O43847
296,Q9NP97
297,Q7L3B6
298,Q14155
299,Q14141
300,P08174
301,H7BXF4
302,P07910
303,Q9Y5N5
304,O15372
305,Q9UHW9
306,O14735
307,Q99439
308,Q9Y2S7
309,Q969G3
310,P35222
311,Q96DH6
312,Q9BY50
313,Q99719
314,O75390
315,Q8TE68
316,P15559
317,P00736
318,P61619
319,Q9Y6E0
320,P04626
321,Q9BZL6
322,Q969X1
323,P61758
324,P51114
325,Q12905
326,Q9P289
327,P00751
328,P16422
329,O00541
330,Q8NHH9
331,P62826
332,Q9H6V9
333,Q9P0V9
334,Q32P44
335,Q96GQ7
336,P60660
337,P62495
338,P11310
339,Q9H9S4
340,Q9NR46
341,Q6JBY9
342,Q96RU3
343,Q6P582
344,P49441
345,P63165
346,P06454
347,Q15370
348,Q53GS9
349,Q92925
350,P29083
351,P30626
352,P30876
353,Q9BUL8
354,Q9GZZ1
355,Q9BTE6
356,Q7Z2W4
357,P35080
358,Q9UNL2
359,Q9Y291
360,Q9BVT8
361,Q13685
362,P05090
363,Q13098
364,P99999
365,Q9NYK5
366,Q86VB7
367,P13798
368,P56134
369,Q9Y4F1
370,P83731
371,Q4VC31
372,Q9BRJ6
373,Q9UGP4
374,Q9NX63
375,Q96GG9
376,P25686
377,Q16563
378,O60716
379,Q6Q788
380,P78344
381,D3DTX6
382,P63098
383,P62910
384,Q8IZ81
385,P06730
386,Q8NBQ5
387,O95379
388,Q9Y6B6
389,Q9NVA2
390,O94979
391,Q9P2W9
392,P27707
393,Q9BT78
394,Q99715
395,P14406
396,O00584
397,Q14011
398,O75122
399,Q6P1N9
400,Q75QN2
401,O60925
402,Q9NRG0
403,Q15369
404,O75347
405,Q9P015
406,P63208
407,P08133
408,Q7L5N1
409,Q9UH65
410,P0DP23
411,P41236
412,P61916
413,O95359
414,Q9UPN9
415,Q8IZA0
416,P35611
417,Q16181
418,Q9Y520
419,P19404
420,P37840
421,P22105
422,P02788
423,P98171
424,Q96C01
425,Q658Y4
426,Q86VM9
427,Q03001
428,Q05397
429,Q9UIA9
430,Q9ULA0
431,P05156
432,P09001
433,Q9Y6E2
434,P14207
435,P16671
436,Q96P48
437,P68400
438,P27816
439,Q86U86
440,Q15070
441,P33240
442,P23588
443,P05166
444,Q14203
445,Q13765
446,E9PB61
447,P52789
448,Q53H12
449,Q7KZI7
450,Q13144
451,Q9BYT8
452,Q9Y2E5
453,O43709
454,O95757
455,O43795
456,P18564
457,E9PEI6
458,Q16836
459,Q9Y4P3
460,Q9UJ41
461,Q13427
462,P20936
463,Q9HBL0
464,P05155
465,Q15631
466,Q15418
467,Q99627
468,Q9Y6M9
469,O94901
470,O43813
471,P04216
472,Q9Y4H4
473,Q04323
474,Q9UK99
475,Q13136
476,Q96KG9
477,Q53GL7
478,Q5H9R7
479,Q99873
480,P17480
481,Q9NRX2
482,Q5VU43
483,Q86V88
484,Q8N9N8
485,P55786
486,P21741
487,Q9BTE7
488,O00193
489,Q00613
490,P48509
491,Q8WWI1
492,O75964
493,Q9H7C9
494,P13987
495,O00217
496,P11117
497,P02511
498,O15321
499,F1T0I1
500,Q9BSJ2
501,Q9Y4A5
502,Q9C0E2
503,Q9H4A3
504,Q9UI30
505,O75251
506,P61803
507,P07358
508,P13051
509,Q9Y3B8
510,Q9NX18
511,P61421
512,P49023
513,Q9Y3C0
514,P08195
515,Q6ZU35
516,Q15436
517,Q99816
518,P55209
519,Q9BQE3
520,Q12849
521,P12694
522,Q8N684
523,P10620
524,P49447
525,P18887
526,Q9UBL3
527,Q96FS4
528,P15586
529,Q6L8Q7
530,Q5T013
531,Q9BY77
532,Q6P1Q0
533,P27708
534,Q9NYL4
535,Q8N4A0
536,P08962
537,Q63HR2
538,P61923
539,Q16527
540,Q8N6T3
541,Q96M96
542,Q99590
543,P40616
544,P54619
545,P54819
546,P09651
547,P27635
548,Q96A26
549,Q15811
550,Q641Q2
551,P49959
552,Q9Y6M1
553,Q96BJ8
554,Q567U6
555,Q8N1G0
556,Q96JC9
557,Q13586
558,P49821
559,P29466
560,P57764
561,O60232
562,Q9BZZ5
563,Q07157
564,P59768
565,Q9UBX5
566,Q9GZR7
567,O15320
568,Q07866
569,P60900
570,Q9Y2Z9
571,P07942
572,G3XAN8
573,O95248
574,P07225
575,Q8N6H7
576,Q9NUV9
577,Q96KA5
578,Q92552
579,Q9Y606
580,P31943
581,Q96FX7
582,Q01433
583,O60762
584,Q9Y237
585,P83881
586,Q9Y282
587,P48728
588,Q13439
589,Q8NFD5
590,Q96N67
591,O43674
592,Q9NZJ7
593,P32969
594,Q96EY4
595,P53041
596,Q8TDP1
597,Q6P1X6
598,Q99700
599,P82979
600,Q9Y6F6
601,Q9H8H3
602,O43716
603,Q96G23
604,Q71UM5
605,Q92930
606,P67812
607,Q9BZF9
608,O43488
609,Q5T3F8
610,Q92841
611,H3BM14
612,P05106
613,P56211
614,Q15287
615,P20702
616,Q9Y342
617,Q99547
618,P06865
619,Q9UPN3
620,P35637
621,Q16775
622,Q9P035
623,Q96CD2
624,Q1KMD3
625,P55789
626,O14562
627,P80404
628,O14874
629,Q96GQ5
630,Q8N9N7
631,O14662
632,P53990
633,P55287
634,O43278
635,P28676
636,A0FGR8
637,Q7L2E3
638,Q9BSR8
639,O75312
640,P61966
641,Q9BUR5
642,Q15032
643,Q9H0V1
644,Q99848
645,Q7Z7K0
646,Q9UJ70
647,H7C3M7
648,P35052
649,Q9ULU4
650,Q8IZH2
651,Q2TAA2
652,Q13404
653,Q9Y2R5
654,Q9NUU7
655,P46459
656,Q02978
657,O75153
658,P63241
659,Q9UQB8
660,O75674
661,P33527
662,P01130
663,J3KN16
664,O00233
665,Q9UKL0
666,J3KNB4
667,O14618
668,O15078
669,J3KNF8
670,J3KNL2
671,Q9UJV9
672,J3KNP4
673,J3KNQ4
674,Q01130
675,O75167
676,P47736
677,Q9Y6G3
678,O95232
679,Q9H4I3
680,Q9NTK5
681,Q9H9Q2
682,Q9Y3E5
683,P20036
684,Q8NBJ7
685,Q9BQE5
686,Q8WUD4
687,Q96FW1
688,Q9BTW9
689,P83916
690,P02686
691,P17844
692,P84098
693,Q07955
694,Q8IWX8
695,O75880
696,Q96FV2
697,Q8N1S5
698,Q9Y2R9
699,Q07020
700,Q9UHR5
701,Q9Y2L5
702,P51648
703,P19105
704,O43670
705,Q9Y2X7
706,Q6P1M3
707,Q14119
708,Q99933
709,Q9BRQ6
710,Q9HAS0
711,Q03252
712,Q6NW29
713,Q13620
714,O94832
715,K7EJ46
716,P48556
717,P84243
718,Q96EP5
719,P36776
720,Q92817
721,K7EL21
722,Q9BZL4
723,Q9BYD3
724,Q6UW68
725,P41567
726,O43291
727,Q9NUL5
728,Q9BZR8
729,Q96DM3
730,Q9NXH9
731,Q9Y285
732,Q9UBQ5
733,P35268
734,P02654
735,P55083
736,L0R6Q1
737,Q9NP81
738,O14579
739,Q14653
740,Q9UPT8
741,Q8IX19
742,Q9Y4J8
743,Q92888
744,Q6ZSZ5
745,P46782
746,Q13459
747,Q5UCC4
748,Q8IX01
749,Q9UI14
750,O00115
751,O00116
752,O00139
753,O00148
754,O00151
755,O00154
756,O00159
757,O00160
758,O00161
759,O00165
760,O00170
761,O00178
762,O00182
763,O00186
764,O00194
765,O00203
766,O00231
767,O00232
768,O00244
769,O00264
770,O00267
771,O00268
772,O00273
773,O00291
774,O00299
775,O00303
776,O00330
777,O00338
778,O00339
779,O00391
780,O00401
781,O00410
782,O00418
783,X6RAL5
784,O00425
785,O00442
786,O00461
787,O00468
788,O00478
789,O00479
790,O00483
791,O00487
792,O00499
793,O00505
794,O00515
795,O00534
796,O00567
797,O00592
798,O00625
799,O00629
800,O00743
801,O00754
802,O00757
803,O00764
804,O14497
805,O14545
806,O14548
807,O14558
808,O14561
809,O14617
810,O14639
811,O14672
812,O14737
813,O14744
814,O14745
815,O14776
816,O14787
817,O14791
818,O14815
819,O14818
820,O14828
821,O14841
822,O14879
823,O14880
824,O14907
825,O14908
826,O14929
827,O14933
828,O14936
829,O14949
830,O14964
831,O14974
832,O14976
833,O14980
834,O15031
835,O15042
836,O15061
837,O15067
838,O15091
839,O15116
840,O15118
841,O15126
842,O15127
843,O15143
844,O15144
845,O15145
846,O15160
847,O15173
848,O15195
849,O15212
850,O15230
851,O15247
852,O15260
853,O15269
854,O15270
855,O15294
856,O15305
857,O15347
858,O15355
859,O15357
860,O15371
861,O15382
862,O15397
863,O15400
864,O15427
865,O15438
866,O15439
867,O15446
868,O15455
869,O15496
870,O15498
871,O15511
872,O15514
873,O15541
874,O15551
875,O43143
876,O43148
877,O43149
878,O43150
879,O43166
880,O43172
881,O43175
882,O43181
883,O43237
884,O43242
885,O43252
886,O43290
887,O43293
888,O43294
889,O43324
890,O43390
891,O43395
892,O43396
893,O43399
894,O43402
895,O43447
896,O43491
897,O43493
898,O43516
899,O43583
900,O43598
901,O43615
902,O43633
903,O43639
904,O43653
905,O43660
906,O43665
907,O43676
908,O43678
909,O43684
910,O43704
911,O43707
912,O43719
913,O43745
914,O43747
915,O43765
916,O43772
917,O43776
918,O43809
919,O43815
920,O43818
921,O43819
922,O43823
923,O43852
924,O43865
925,O43866
926,O43896
927,O43920
928,O60216
929,O60218
930,O60220
931,O60231
932,O60234
933,O60256
934,O60262
935,O60264
936,O60268
937,O60313
938,O60341
939,O60437
940,O60487
941,O60488
942,O60493
943,O60504
944,O60547
945,O60568
946,O60645
947,O60664
948,O60669
949,O60684
950,O60701
951,O60711
952,O60749
953,O60763
954,O60784
955,O60826
956,O60828
957,O60831
958,O60832
959,O60869
960,O60884
961,O60885
962,O60888
963,O75071
964,O75083
965,O75116
966,O75131
967,O75146
968,O75150
969,O75157
970,O75165
971,O75170
972,O75175
973,O75179
974,O75190
975,O75208
976,O75223
977,O75264
978,O75306
979,O75323
980,O75340
981,O75348
982,O75351
983,O75356
984,O75363
985,O75367
986,O75368
987,O75369
988,O75380
989,O75381
990,O75396
991,O75410
992,O75431
993,O75436
994,O75438
995,O75439
996,O75475
997,O75477
998,O75489
999,O75494
1000,O75506
1001,O75531
1002,O75533
1003,O75534
1004,O75569
1005,O75592
1006,O75607
1007,O75643
1008,O75688
1009,O75694
1010,O75695
1011,O75746
1012,O75764
1013,O75791
1014,O75792
1015,O75821
1016,O75822
1017,O75843
1018,O75844
1019,O75874
1020,O75879
1021,O75886
1022,O75915
1023,O75923
1024,O75934
1025,O75935
1026,O75937
1027,O75947
1028,O75955
1029,O75976
1030,O75995
1031,O76003
1032,O76021
1033,O76024
1034,O76031
1035,O76070
1036,O76080
1037,O76094
1038,O76095
1039,O94760
1040,O94763
1041,O94776
1042,O94804
1043,O94811
1044,O94826
1045,O94855
1046,O94874
1047,O94886
1048,O94887
1049,O94888
1050,O94903
1051,O94905
1052,O94906
1053,O94913
1054,O94919
1055,O94973
1056,O94992
1057,O95049
1058,O95104
1059,O95139
1060,O95140
1061,O95154
1062,O95155
1063,O95159
1064,O95164
1065,Q6FGG4
1066,O95168
1067,O95169
1068,O95182
1069,O95183
1070,O95202
1071,O95292
1072,O95294
1073,O95298
1074,O95302
1075,O95336
1076,O95340
1077,O95352
1078,O95361
1079,O95372
1080,O95373
1081,O95394
1082,O95395
1083,O95400
1084,O95425
1085,O95433
1086,O95453
1087,O95466
1088,O95470
1089,O95471
1090,O95479
1091,O95486
1092,O95487
1093,O95563
1094,O95571
1095,O95573
1096,O95602
1097,O95630
1098,O95671
1099,O95674
1100,O95716
1101,O95721
1102,O95747
1103,O95758
1104,O95777
1105,O95782
1106,O95786
1107,O95810
1108,O95816
