ID,NC1 Log2,NC2 Log2,NC3 Log2,NC4 Log2,GC1 Log2,GC2 Log2,GC3 Log2,GC4 Log2,PL1 Log2,PL2 Log2,PL3 Log2,PL4 Log2
P06493,-0.937184379,-0.932693773,-1.081250485,-1.13938707,-0.867468625,-1.11154117,-0.796004146,-0.930735076,-0.901925766,-1.298579145,-1.066622526,-1.071185042
P35237,1.037428332,1.011747179,0.963220524,0.974837208,1.123045815,1.101831587,1.12546417,1.16877779,1.13515584,1.134685394,1.145341529,1.127856755
P02655,-0.337731319,-0.404216282,-0.585614235,-0.59008649,-0.39718207,-0.437881164,-0.228802578,-0.340531498,-0.354956465,-0.678364407,-0.459061045,-0.475257814
Q00341,2.259688966,2.228412189,2.213767145,2.239242245,2.119442517,2.080857875,2.083213172,2.159088494,2.189596231,2.096105841,2.174635676,2.14470532
P46781,1.469855682,1.446781006,1.505724949,1.5006169,1.397336984,1.379748149,1.357604159,1.349690924,1.316551834,1.32773518,1.320100956,1.283296796
Q9H4M9,0.517482108,0.535960696,0.693923974,0.664063854,0.563438243,0.776320028,0.587434747,0.56169564,0.533753148,0.816482596,0.639331598,0.603368525
O00748,0.829825371,0.809558244,0.789228856,0.762471213,1.239452022,1.243545656,1.24396687,1.294114545,1.013583546,1.01322983,1.000126553,0.980803858
P25787,0.061117745,0.114712171,0.196946212,0.192171725,0.061260483,0.249617399,0.137505251,0.056683729,0.088479105,0.267095008,0.142092416,0.090361009
Q14241,-0.917174643,-0.883972119,-1.092037214,-1.088899391,-1.109051997,-1.175703724,-1.058597169,-1.094446354,-1.003906739,-1.111266446,-0.943220818,-0.951445625
Q96BI1,-0.697209116,-0.652445596,-0.734255066,-0.642276918,-0.792906347,-0.657467803,-0.752948751,-0.700442988,-0.668188621,-0.501764778,-0.595162306,-0.58265152
P46379,0.024410942,0.001469804,0.030230944,0.04991899,0.06335064,0.155329195,0.010029587,0.096239287,0.076153295,0.123727617,0.09580586,0.123376324
Q96FF7,0.007606526,-0.062199213,-0.125931153,-0.155624009,-0.115175781,-0.284132712,-0.126124661,-0.178307451,-0.115680249,-0.316825371,-0.200801104,-0.086321564
P01701,-0.106072883,-0.073137867,-0.103178374,-0.089270944,-0.211085238,-0.310513956,-0.186572018,-0.261925196,-0.144610121,-0.27320517,-0.268910001,-0.235808199
P01717,-0.197867726,-0.193612651,-0.175136079,-0.142197601,-0.338720464,-0.17201959,-0.369004669,-0.20166207,-0.343792603,-0.222752073,-0.367000193,-0.270727627
P01715,0.03506517,0.085166877,0.08710744,0.016444172,0.029796811,0.093697436,0.183097622,0.08934637,0.03493203,0.064411647,-0.02246788,-0.075962834
P0DOY3,2.37019745,2.384587251,2.443919733,2.480638578,2.178171698,2.137513523,2.076091148,2.09684425,2.32724017,2.382786288,2.360872671,2.286164651
P01877,0.25634447,0.255938709,0.250759696,0.198130209,-0.151441245,-0.450277647,-0.282794412,-0.099281006,0.00659177,-0.374513771,-0.220187285,-0.182383381
A0A0C4DH68,-0.461391687,-0.362892412,-0.155447605,-0.242142829,-0.467493619,-0.477600224,-0.714402632,-0.773353528,-0.422207702,-0.26049121,-0.431809516,-0.366498103
P58107,1.620467531,1.571265167,1.562458696,1.556770567,1.809543203,1.850603124,1.817321465,1.907765564,1.628779476,1.602565212,1.604176307,1.597143177
P80303,1.29072244,1.285631823,1.304385366,1.28495156,1.179429065,1.038133299,1.086683699,1.144134898,1.345414502,1.248318636,1.289089748,1.293605565
Q16881,0.449025944,0.46549966,0.514712724,0.529663445,0.445405766,0.492057519,0.389964214,0.443161155,0.419685977,0.58114212,0.46065378,0.482379635
P36969,0.027785272,0.008198444,-0.001587939,0.065786455,-0.012825341,-0.038539738,-0.020871148,-0.162891637,0.039032071,0.081821371,0.058990986,0.098160716
